time,L1AccX_filtered,L2AccX_filtered,L3AccX_filtered
28.56,-0.00871619794641498,0.0090768454026803,-0.0025591739380797
28.565,-0.00644469739963161,0.00653969169922114,-0.00172391970257266
28.57,-0.0027575602739656,0.00257816912802961,-0.000484991588937111
28.575,0.00153423239267737,-0.00195494118352598,0.000901756520861086
28.58,0.00549815513099981,-0.00606859664423465,0.00211493645915238
28.585,0.0082609617077295,-0.00887396711002295,0.00288461375803531
28.59,0.0092311656197232,-0.00977545256933174,0.0030543901300773
28.595,0.0082018676043794,-0.00857711166681629,0.00255899252100929
28.6,0.00539602370801865,-0.0055474241960551,0.00149773801824696
28.605,0.00143333572509696,-0.00135089795086585,0.000103608472208403
28.61,-0.00281818284738043,0.00312254536606142,-0.00134733159537292
28.615,-0.00645395956144297,0.00690912534071072,-0.00254459226431886
28.62,-0.00869138957379849,0.00920730945959067,-0.00321369830545489
28.625,-0.00905900974363447,0.00954409703314148,-0.00322581708837903
28.63,-0.00749822917031377,0.00785862616501048,-0.00257004817038358
28.635,-0.00435789471173441,0.00452926212751836,-0.00135607320191576
28.64,-0.000322348835588193,0.000280638771209559,0.000144418305738493
28.645,0.00374666970788522,-0.00397941148397619,0.0016230421810029
28.65,0.00697556294312862,-0.00734971726964504,0.00279024972943202
28.655,0.00869909592698911,-0.00912674216405586,0.0033786998697688
28.66,0.008568523745366,-0.00896465289001394,0.00327279054035769
28.665,0.00663167033177023,-0.00692657302277533,0.0025097616441916
28.67,0.00333474498440958,-0.00347904390052405,0.0012348458268136
28.675,-0.000615963394463696,0.000630590481486412,-0.000296937460720397
28.68,-0.00438102958317064,0.00452009325943865,-0.00174296265425055
28.685,-0.00715122087886171,0.00738518291875429,-0.00282744831317249
28.69,-0.00837185638204968,0.00864302254895784,-0.00334362508459817
28.695,-0.00781747132954855,0.00806279737082454,-0.00316026031116136
28.7,-0.00562736609718685,0.00580632116111252,-0.00234585050383758
28.705,-0.00229639611004089,0.00239480220343631,-0.00107321544946706
28.71,0.00143904789744971,-0.00143485257888506,0.000409781411290005
28.715,0.00479344703199376,-0.00486902023756874,0.00178557208153599
28.72,0.00706369582265149,-0.00718393898800411,0.00276701020835568
28.725,0.00779633911021816,-0.00792912989839337,0.00317367142786826
28.73,0.00687155885459782,-0.00698319067595213,0.00292874225653631
28.735,0.00453079503267025,-0.00458968919812133,0.00207531604323462
28.74,0.00128210593313597,-0.00129111597758527,0.00082595968334658
28.745,-0.00216169264713733,0.0021903350290248,-0.000563359051143071
28.75,-0.00507267392977921,0.00511316700901147,-0.00181830238594648
28.755,-0.00686020020898196,0.00687426329602338,-0.00265482007509095
28.76,-0.00715877943175888,0.00712617787115529,-0.00292020841760439
28.765,-0.00593738759066963,0.00585387156508864,-0.00258122373549694
28.77,-0.00348397056429135,0.00335720128812012,-0.00170190586258819
28.775,-0.000336624590081969,0.000196989729779528,-0.000483002154424041
28.78,0.00283726808261915,-0.00293982026401421,0.000805163855680742
28.785,0.00535918450510694,-0.00538966346781489,0.00189956093270621
28.79,0.00670999197856489,-0.00664232185838189,0.00258392608536606
28.795,0.0066203653717645,-0.00645372730857192,0.00269715508451335
28.8,0.00513583133995057,-0.00488398878084767,0.00223753683954187
