time,tableAccX_filtered,L1AccX_filtered,L2AccX_filtered,L3AccX_filtered
46.875,0.0264184361513644,0.00936297896450167,0.000228195777594198,-0.0434036874208061
46.88,0.0258649368833088,0.0116341031000871,-0.00412792696891815,-0.0465264909051088
46.885,0.0252772964650017,0.0111424823275455,-0.00703460560983014,-0.0505262959727823
46.89,0.0249547139165079,0.00778446921380965,-0.00851470313647691,-0.0552493855613305
46.895,0.0250013324375317,0.00277548852752154,-0.00820812508362215,-0.0608871869164853
46.9,0.0252933319645137,-0.0020803247982225,-0.00567697907864897,-0.0675666881466101
46.905,0.0255873031082686,-0.00560003701666056,-0.00119416251073445,-0.0748775852311569
46.91,0.0256792733945666,-0.0078209923472043,0.00394594928985863,-0.0815340663083253
46.915,0.0255400059931231,-0.00974729609127027,0.00764583620177574,-0.0860174935442579
46.92,0.0253081459957523,-0.0122056810638173,0.00791740595441688,-0.0872565982350301
46.925,0.0251793073156646,-0.0147871887403052,0.00397490042162051,-0.0853539237458834
46.93,0.0252670442665448,-0.0156415829800245,-0.00301059102641609,-0.0817052814170872
46.935,0.0255361427132436,-0.0125961436059175,-0.0103007322259727,-0.0782198929392784
46.94,0.0258448730305265,-0.00481615744075642,-0.0149351026703208,-0.0763318775542098
46.945,0.0260703655898171,0.00598228235246775,-0.015173627396429,-0.0760755490765699
46.95,0.0262315380071201,0.0157635264026214,-0.0114631329292683,-0.0760587019600314
46.955,0.0264879300790077,0.0200796201618174,-0.00625238130172906,-0.074448992189014
46.96,0.0270508931176442,0.0165366593702765,-0.00244064002131121,-0.0702294273471845
46.965,0.0280221940707717,0.00650717880489095,-0.00158393451264322,-0.0641551767544142
46.97,0.0292854962646381,-0.00531714335769597,-0.00292507768536857,-0.0585417555645272
46.975,0.0305330623925078,-0.0131516535470234,-0.003832808844303,-0.0561143546109343
46.98,0.031417182452516,-0.0133356106911612,-0.0014421447777313,-0.0582185135124311
46.985,0.0317047794873692,-0.00644793139437801,0.00524529809822968,-0.0637500564218552
46.99,0.0314031316836725,0.00291112819980108,0.0142620634910737,-0.0694786136674819
46.995,0.0307219952419565,0.00888088659238988,0.0215135878292812,-0.071511494701353
47,0.0299241823377447,0.00782150857860871,0.0230052328445401,-0.0675093234758843
47.005,0.0291524327933415,0.000743951504935977,0.0172740461342475,-0.0581405377871723
47.01,0.0283755865446508,-0.00705129528290858,0.00658837965445073,-0.0469620641610618
47.015,0.0274259035978213,-0.00904441362192368,-0.00378555372211666,-0.0385707093181647
47.02,0.0261716498597138,-0.00165261375967271,-0.0083323164940901,-0.0361473602497961
47.025,0.0246547754013329,0.0131474269728819,-0.00424384060425266,-0.0396457679040216
47.03,0.0231375351523548,0.0282692940896659,0.00719462098270095,-0.0456497501924849
47.035,0.0219907919460123,0.0352394635248871,0.0212889752757862,-0.0492706449538572
47.04,0.0215109739044832,0.0291799096485333,0.0325615090974282,-0.0467988819629115
47.045,0.0217514774116978,0.0120477958246555,0.0378513542931441,-0.037777182272514
47.05,0.022498776867804,-0.00778565992285812,0.0379194808309455,-0.0253242449252592
47.055,0.0233995212329495,-0.0197123456300106,0.0365278668222663,-0.0142272804673738
47.06,0.0241554438472439,-0.0166984599401639,0.0379109181087015,-0.00823891901458611
47.065,0.0246852533599976,0.000607940016527128,0.0439193676134131,-0.00783480761503738
47.07,0.0251587184116441,0.0239918104584938,0.0526338384686576,-0.00994985907909817
47.075,0.0258455911647596,0.0420835564180926,0.0594495994104295,-0.00980227450498675
47.08,0.0269129386537175,0.0466935599944462,0.0601229317145483,-0.00393616766024296
47.085,0.0282804427352818,0.037430693274258,0.0535516092854077,0.00762301499842718
47.09,0.029635069692607,0.0219491765319213,0.042928742180755,0.021129570006152
47.095,0.0306016022450374,0.0113235786892951,0.0343156955125139,0.0310519471456884
47.1,0.0309995644753452,0.0133753632281341,0.0333998669937799,0.033385205347538
47.105,0.0309826052535809,0.0278226182058538,0.0421207606436637,0.0280279454179981
47.11,0.0309876019155771,0.0461114541537754,0.057529225153759,0.0189544396599384
47.115,0.0314869261649523,0.056413687967666,0.0733866482141484,0.0121166825498299
